start_date,total_rides
2017-01-01,12086
2017-02-01,14477
2017-03-01,15468
2017-04-01,9768
2017-05-01,10370
2017-06-01,10703
2017-07-01,225718
2017-08-01,239242
2017-09-01,243331
2017-10-01,201189
2017-11-01,133891
2017-12-01,74077
2018-01-01,43859
2018-02-01,49731
2018-03-01,84969
2018-04-01,94783
2018-05-01,212750
2018-06-01,250837
2018-07-01,286316
2018-08-01,281219
2018-09-01,255001
2018-10-01,175879
2018-11-01,104287
2018-12-01,83324
2019-01-01,61462
2019-02-01,40058
2019-03-01,87543
2019-04-01,145151
2019-05-01,214616
2019-06-01,291918
2019-07-01,382236
2019-08-01,417395
2019-09-01,330722
2019-10-01,248657
2019-11-01,137370
2019-12-01,82389
2020-01-01,102148
2020-02-01,95183
2020-03-01,105046
2020-04-01,71779
2020-05-01,196224
2020-06-01,370471
2020-07-01,458884
2020-08-01,494468
2020-09-01,440662
2020-10-01,277590
2020-11-01,203256
2020-12-01,95348
2021-01-01,86371
2021-02-01,58879
2021-03-01,157397
2021-04-01,224299
2021-05-01,424023
2021-06-01,452647
2021-07-01,463910
2021-08-01,496943
2021-09-01,454788
2021-10-01,367148
2021-11-01,242928
2021-12-01,145849
2022-01-01,56765
2022-02-01,67010
2022-03-01,151938
2022-04-01,245920
2022-05-01,504926
2022-06-01,605645
2022-07-01,680308
2022-08-01,705150
2022-09-01,602817
2022-10-01,499751
2022-11-01,320229
2022-12-01,180010
2023-01-01,180135
2023-02-01,172776
2023-03-01,224545
2023-04-01,380346
2023-05-01,589217
2023-06-01,663691
2023-07-01,735924
2023-08-01,760141
2023-09-01,754303
2023-10-01,601075
2023-11-01,393873
2023-12-01,257115
